word,count
tasted,4
say—and,4
allow,4
fields,4
mount,4
raise,4
youngest,4
humane,4
rivers,4
flat,4
homestead,4
begrimed,4
yellow,4
backwards,4
leaning,4
“‘when,4
friendly,4
goblet,4
besought,4
suspected,4
admiration,4
charm,4
‘sir,4
citizens,4
styes,4
intolerable,4
cephallenians,4
dug,4
moored,4
“they,4
valued,4
fawn,4
ctesippus,4
terribly,4
clothing,4
prime,4
decreed,4
minerva’s,4
colour,4
surprise,4
splendour,4
“queen,4
reign,4
dread,4
content,4
roast,4
stool,4
listened,4
comfortably,4
favourite,4
helping,4
greatness,4
hatched,4
vine,4
illustration,4
natural,4
music,4
opening,4
conducted,4
richly,4
entirely,4
traders,4
path,4
port,4
3,4
baskets,4
voyages,4
writer’s,4
issue,4
sufferings,4
stowed,4
lady,4
difficulties,4
shewed,4
caves,4
hers,4
courses,4
act,4
ordained,4
considerable,4
wilderness,4
cutting,4
28,4
nursed,4
folded,4
likes,4
carries,4
dispersed,4
shortly,4
camp,4
blinded,4
grasped,4
115,4
wrote,4
antiphus,4
“mentor,4
continued,4
victuals,4
80,4
taphians,4
telemachus’,4
hides,4
pages,4
traveller,4
thou,4
melancholy,4
amphitrite,4
readers,4
grinding,4
suddenly,4
surf,4
principal,4
pretext,4
havoc,4
bows,4
affliction,4
fondly,4
atlas,4
plank,4
rests,4
quest,4
wished,4
direct,4
abounds,4
steps,4
foul,4
hearers,4
existence,4
trojan,4
thee,4
murderer,4
holds,4
noemon,4
sundown,4
solemnly,4
firmament,4
sends,4
legs,4
whither,4
thrasymedes,4
sands,4
brings,4
willing,4
buildings,4
olympian,4
somewhat,4
visitors,4
divide,4
italian,4
talked,4
faring,4
wedded,4
rejoinder,4
another’s,4
referred,4
depart,4
rare,4
son’s,4
closely,4
embers,4
fated,4
ranged,4
desired,4
asks,4
warn,4
vengeance,4
butcher,4
appendix,4
false,4
reckoning,4
viii,4
x,4
nations,4
smaller,4
size,4
originally,4
xviii,4
headed,4
encouraging,4
sacred,4
25,4
headland,4
dashed,4
faithful,4
messrs,4
xix,4
120,4
twentieth,4
initial,4
honesty,4
considered,4
english,4
departed,4
strict,4
read,4
endurance,4
generations,4
offence,4
punish,4
“no,4
insist,4
street,4
sum,4
abroad,4
careful,4
fooled,4
agamemnon’s,4
needs,4
wrath,4
xxii,4
ruined,4
mere,4
xx,4
spirit,4
crews,4
enjoying,4
useful,4
addressed,4
eyed,3
husband’s,3
woe,3
command,3
returns,3
distressed,3
possession,3
damastor,3
“have,3
aiming,3
strange,3
hoping,3
walked,3
rope,3
suggest,3
wound,3
seizing,3
rue,3
gently,3
kin,3
henceforth,3
passing,3
relieved,3
clever,3
mycene,3
‘if,3
choice,3
warned,3
gain,3
squealing,3
daily,3
disaster,3
woo,3
